Date,USD,JPY,BGN,CYP,CZK,DKK,EEK,GBP,HUF,LTL,LVL,MTL,PLN,ROL,RON,SEK,SIT,SKK,CHF,ISK,NOK,HRK,RUB,TRL,TRY,AUD,BRL,CAD,CNY,HKD,IDR,ILS,INR,KRW,MXN,MYR,NZD,PHP,SGD,THB,ZAR,
2021-10-14,1.1602,131.65,1.9558,N/A,25.387,7.4406,N/A,0.84618,359,N/A,N/A,N/A,4.5693,N/A,4.95,10.0138,N/A,N/A,1.0686,149.6,9.7928,7.5127,83.1225,N/A,10.6104,1.5644,6.3528,1.4361,7.4683,9.0244,16353.05,3.7372,87.3355,1375.51,23.8458,4.8195,1.6506,58.778,1.5642,38.524,17.162,
2021-10-13,1.1562,131.3,1.9558,N/A,25.369,7.4407,N/A,0.84898,360.2,N/A,N/A,N/A,4.5772,N/A,4.949,10.1195,N/A,N/A,1.0722,150,9.8555,7.518,83.0248,N/A,10.4833,1.5722,6.3814,1.4386,7.4482,8.9952,16438.27,3.7408,87.1095,1378.13,23.9497,4.8098,1.6647,58.564,1.5646,38.478,17.194,
2021-10-12,1.1555,131.06,1.9558,N/A,25.376,7.4408,N/A,0.84755,359.91,N/A,N/A,N/A,4.5805,N/A,4.9499,10.1078,N/A,N/A,1.0729,150,9.8608,7.5155,83.0176,N/A,10.4044,1.566,6.3977,1.4395,7.4522,8.9915,16396.85,3.7275,87.272,1383.4,24.0232,4.8132,1.6591,58.711,1.5664,38.501,17.265,
2021-10-11,1.1574,130.7,1.9558,N/A,25.399,7.4412,N/A,0.84878,360.7,N/A,N/A,N/A,4.5913,N/A,4.9493,10.1163,N/A,N/A,1.0722,150,9.888,7.5155,82.963,N/A,10.3726,1.5751,6.3719,1.4431,7.4644,9.0049,16444.42,3.7358,87.334,1383.43,24.0051,4.8264,1.668,58.924,1.5665,39.195,17.3108,
2021-10-08,1.1569,129.32,1.9558,N/A,25.434,7.4413,N/A,0.8489,360.19,N/A,N/A,N/A,4.6182,N/A,4.9483,10.1138,N/A,N/A,1.0734,149.4,9.8855,7.5188,83.239,N/A,10.311,1.5837,6.3638,1.4499,7.4591,9.0066,16430.43,3.7374,86.7495,1381.8,23.8295,4.8335,1.6686,58.43,1.5681,39.161,17.2259,
2021-10-07,1.1562,128.78,1.9558,N/A,25.415,7.4399,N/A,0.85023,358.16,N/A,N/A,N/A,4.5458,N/A,4.9475,10.1453,N/A,N/A,1.0712,148.8,9.9388,7.515,83.178,N/A,10.2594,1.5839,6.338,1.4545,7.4536,9.0008,16406.7,3.7353,86.408,1375.87,23.7032,4.837,1.6676,58.308,1.5697,39.051,17.2074,
2021-10-06,1.1542,128.52,1.9558,N/A,25.415,7.4398,N/A,0.8497,359.43,N/A,N/A,N/A,4.5925,N/A,4.9458,10.1628,N/A,N/A,1.0715,148.6,9.923,7.508,83.6242,N/A,10.2802,1.5913,6.3584,1.4575,7.4407,8.9876,16487.75,3.7452,86.438,1379.91,23.9641,4.8297,1.6728,58.804,1.5712,39.116,17.4561,
2021-10-05,1.1602,128.99,1.9558,N/A,25.308,7.4379,N/A,0.85173,356.9,N/A,N/A,N/A,4.5998,N/A,4.9477,10.131,N/A,N/A,1.0752,148,9.9155,7.505,84.1541,N/A,10.2707,1.5937,6.3106,1.4612,7.4805,9.0324,16506.62,3.7477,86.488,1376.12,23.7904,4.8482,1.665,58.893,1.5743,39.203,17.3792,
2021-10-04,1.1636,129.21,1.9558,N/A,25.32,7.4374,N/A,0.8553,355.9,N/A,N/A,N/A,4.5685,N/A,4.9478,10.1435,N/A,N/A,1.0768,150.1,9.977,7.493,84.7198,N/A,10.2816,1.5957,6.2579,1.4668,7.5013,9.0597,16575.85,3.7456,86.4025,1372.5,23.8512,4.8569,1.6687,59.06,1.5777,39.242,17.3166,
2021-10-01,1.16,128.97,1.9558,N/A,25.309,7.4372,N/A,0.85653,358.16,N/A,N/A,N/A,4.5826,N/A,4.947,10.1538,N/A,N/A,1.0791,149.7,10.0204,7.498,84.7187,N/A,10.2583,1.5985,6.2816,1.4698,7.4781,9.0304,16563.71,3.7353,85.975,1371.32,23.7955,4.8482,1.6751,58.752,1.5733,39.022,17.3449,
2021-09-30,1.1579,129.67,1.9558,N/A,25.495,7.436,N/A,0.86053,360.19,N/A,N/A,N/A,4.6197,N/A,4.9475,10.1683,N/A,N/A,1.083,150.9,10.165,7.4889,84.3391,N/A,10.2981,1.6095,6.2631,1.475,7.4847,9.0184,16572.03,3.7363,86.0766,1371.58,23.7439,4.8475,1.6858,59.066,1.576,39.235,17.5629,
2021-09-29,1.1654,129.89,1.9558,N/A,25.457,7.436,N/A,0.86443,359.6,N/A,N/A,N/A,4.626,N/A,4.946,10.183,N/A,N/A,1.0829,150.7,10.143,7.4975,84.6823,N/A,10.3168,1.6112,6.3218,1.4793,7.5347,9.0714,16670.71,3.7425,86.467,1381.2,23.7082,4.8769,1.6826,59.203,1.5822,39.49,17.521,
2021-09-28,1.1678,130.17,1.9558,N/A,25.517,7.436,N/A,0.8595,359.39,N/A,N/A,N/A,4.6176,N/A,4.9498,10.1933,N/A,N/A,1.084,149.7,10.102,7.5013,84.7497,N/A,10.3685,1.6115,6.3122,1.4776,7.5433,9.0882,16697.39,3.7505,86.5595,1385.41,23.5909,4.8843,1.6781,59.626,1.5846,39.46,17.6299,
2021-09-27,1.1698,129.74,1.9558,N/A,25.443,7.436,N/A,0.8542,358.13,N/A,N/A,N/A,4.5955,N/A,4.9495,10.1738,N/A,N/A,1.085,150.1,10.0655,7.5028,84.9955,N/A,10.3471,1.6129,6.2187,1.4812,7.5609,9.1054,16673.16,3.7427,86.4025,1382.04,23.5043,4.8991,1.6711,59.881,1.584,39.276,17.6179,
